Area,Bedrooms,Bathrooms,House_Age,Location_Score,Price
6657,4,3,20,2.359625384399256,3487096.2538439925
7477,5,3,25,2.936628622480905,3925366.286224809
9941,5,3,31,5.812560655046496,5189125.606550465
4980,5,3,7,1.3855022239555252,2652355.022239555
9292,5,2,15,9.753188461481159,4881031.884614811
6050,5,4,14,9.61647776895829,3288164.7776895827
5309,1,2,6,1.4962984169281324,2722462.9841692816
7383,2,4,36,9.665333429004505,3906153.334290045
6170,1,4,47,7.978410971688881,3268284.109716889
1491,2,2,17,6.493054672469422,888930.5467246942
6022,1,3,10,6.0398656098043215,3141398.656098043
5618,5,2,20,9.633627158395155,3045336.2715839515
6536,2,3,35,1.244607278649175,3382946.072786492
9216,1,1,5,7.076739423295829,4716267.394232959
7171,5,4,10,7.057958568717816,3821079.585687178
1387,2,1,6,8.197592582841175,833475.9258284117
2134,3,4,37,4.180239853024279,1247302.3985302427
2542,1,3,14,9.533799906296672,1438337.9990629668
4865,1,4,3,9.444036585493848,2608440.3658549385
7763,3,3,15,8.521408443333947,4079214.0844333395
8877,3,4,7,8.76109324406669,4649610.9324406665
1121,5,1,26,1.4495091428970297,702995.0914289703
5749,1,2,3,5.897150720669661,2984971.5072066966
9138,3,1,3,9.564420573559913,4741144.205735599
2300,5,2,43,9.426469646722765,1395764.6964672278
5609,2,1,41,8.512174282922263,2965121.7428292227
9438,5,4,46,2.5277017428626003,4927277.017428626
2330,5,3,20,4.935425517738304,1369354.255177383
3904,2,4,40,7.309158339288451,2145091.5833928846
9026,4,1,7,2.334056200366785,4634840.5620036675
6129,1,1,16,3.714104481503364,3144641.0448150337
4759,5,1,31,2.351113283821733,2533511.1328382175
5492,2,1,31,7.85017962417037,2895001.796241704
9982,1,1,45,7.35999038679663,5122099.9038679665
2319,4,2,10,5.992216223739023,1334422.1622373902
2961,4,4,15,4.795387439645974,1675953.8743964597
9067,5,3,42,3.7595119115244584,4737095.119115245
4807,2,1,23,7.577830832210676,2545778.308322107
36,5,4,29,9.742886010464614,289928.8601046461
3877,4,4,1,9.82717987777061,2177271.798777706
4733,1,4,10,5.959853765366331,2511098.537653663
5081,3,2,39,2.9703520387344255,2679703.520387344
8010,3,1,44,1.93162071325659,4121316.207132566
6710,1,2,6,8.936783231433118,3497367.832314331
3537,2,2,37,1.6413519352883537,1873413.5193528836
8886,2,4,23,2.9037262487169935,4583537.26248717
3726,1,2,28,4.009258031994017,1967092.58031994
5182,1,4,17,6.307580678313677,2742575.806783137
6294,3,3,24,5.995271144347554,3323952.7114434754
3327,3,4,49,3.9644166286267706,1847644.1662862678
3295,1,2,33,7.303850476905221,1787038.5047690521
6088,4,3,30,6.746570163701902,3251465.701637019
894,4,2,44,3.918498133282676,618184.9813328268
6817,2,3,37,6.894138781902877,3580941.387819029
5582,4,3,38,2.3924023222086124,2958924.023222086
4986,2,1,20,2.274872353716969,2580748.72353717
4673,1,2,16,9.815486805904124,2492654.8680590414
9502,4,4,15,4.043063275864313,4938930.6327586435
996,3,4,8,6.632192539821845,688321.9253982184
2234,2,1,19,3.6871133916700427,1218371.1339167005
7587,1,1,13,2.506087334134424,3860060.8733413443
4739,2,4,39,3.588219548577624,2524882.1954857763
5390,4,2,27,1.0269405529187643,2828769.4055291875
7627,2,4,6,3.27598517171068,3949259.851717107
7775,5,4,32,3.225116084987011,4095751.16084987
282,5,3,23,8.915318583143193,386653.18583143194
2678,5,2,4,8.993148365893607,1560931.483658936
2125,5,4,1,6.5204782376432,1288204.782376432
2464,5,3,29,6.039490635882893,1451894.906358829
6792,1,1,25,2.9092519475420637,3472592.5194754205
2886,5,4,25,8.58476604315296,1701347.6604315296
5569,4,1,46,6.461710685342348,2967117.1068534236
862,4,3,43,8.77285008332305,665228.5008332306
5001,3,4,22,9.371081618359979,2725210.8161835996
2031,1,2,12,6.9855967616900205,1141355.9676169
2129,4,2,40,3.922067132908739,1233720.6713290873
1202,5,1,42,9.943168827589586,836431.6882758959
3732,4,1,6,5.0598134435105235,2014598.1344351051
6147,3,2,1,4.363131621510595,3207631.316215106
6822,2,1,8,5.21316326357323,3522131.632635732
5501,2,4,3,8.563625920359668,2937636.2592035965
7540,3,4,38,7.086047564875466,3979860.4756487547
4521,3,4,29,4.168614937022288,2436686.149370223
8597,2,2,9,7.005346957206058,4443053.469572061
6010,2,1,12,7.495308937464636,3140953.0893746465
1904,5,1,11,6.912025361213259,1141620.2536121325
6709,4,1,48,5.418015089480815,3527680.150894808
4830,3,2,20,6.5195210341139145,2580195.210341139
1914,5,1,6,3.128540820223172,1106285.4082022316
5050,2,2,46,4.3389767594135265,2661389.7675941354
9043,3,4,20,1.5870193261646932,4667370.193261647
7124,3,4,17,9.994428076529564,3790444.2807652955
1861,5,2,36,4.382996567496915,1122329.9656749691
4308,2,4,36,9.350068874328013,2365500.6887432802
3585,1,3,15,2.6636128496331306,1891636.1284963314
6999,3,4,20,3.4734142617494204,3664234.1426174943
5444,4,1,37,3.653181055579865,2872031.8105557985
7351,5,2,33,3.629190139929892,3858291.901399299
3024,1,1,43,1.6438361307415037,1584938.361307415
954,4,1,2,4.543149076743467,618431.4907674347
4479,3,2,41,1.772444518726842,2367724.4451872683
7600,3,1,44,1.5662170553736177,3912662.1705537364
9033,1,4,8,4.309386482683765,4643593.864826838
2005,4,1,47,3.944215710585623,1160442.1571058563
4621,5,1,38,5.786397119470975,2502363.9711947097
728,4,1,45,2.839444551677368,509894.4455167737
8281,1,4,2,8.869990382017471,4310199.903820175
8079,2,1,46,4.074585792824371,4158245.857928244
5308,3,1,38,7.790674732282189,2825906.747322822
9122,4,3,38,5.250125740707503,4757501.257407075
4408,4,4,35,6.134660177432942,2422846.6017743293
559,5,3,12,6.967926516271285,500179.26516271284
2626,4,2,1,9.776622295849695,1521266.222958497
1018,4,3,17,9.870568663540027,741205.6866354003
7355,5,3,36,8.51613120503858,3925661.312050386
2614,3,2,39,6.07186271877521,1477218.6271877522
5830,4,1,14,2.474494777571736,3041744.9477757174
9429,3,2,14,9.37151813675912,4905215.181367591
4378,2,1,3,1.7098861633006701,2262598.8616330065
9109,5,2,47,6.188560990553373,4769885.6099055335
3848,2,4,50,1.6245631891321872,2065245.6318913219
3706,3,3,16,7.532123048042604,2041321.230480426
6584,3,3,1,9.280409368760981,3490304.09368761
710,2,2,30,7.795546028682098,517955.460286821
5183,1,1,3,1.1818197457964899,2639818.197457965
5385,2,3,21,6.046734514733342,2848467.3451473336
6832,3,4,20,5.812234792201787,3604122.347922018
3241,5,2,17,4.541135908014409,1804411.3590801442
4320,3,3,39,1.3071815955220654,2297571.8159552207
5284,1,2,14,1.9797133251450698,2718797.1332514505
3979,1,3,4,4.485797739707979,2101357.9773970796
2534,4,2,4,3.2127657849727935,1411127.657849728
9295,5,4,5,2.1518053313780796,4831518.053313781
7411,5,3,43,4.454158701397214,3916541.587013972
8061,3,1,35,3.273576391880696,4155735.763918807
9712,4,2,29,8.113749269360504,5061637.492693605
3753,3,4,29,7.920430303513824,2090204.3030351382
9304,3,1,39,9.441371664596293,4840913.716645963
8035,4,2,15,7.132292018851594,4206322.920188516
6620,1,3,13,4.670711079620816,3428207.110796208
189,5,4,26,2.7573472622846893,295073.4726228469
2543,3,3,45,3.1495755659010807,1430495.7556590107
3179,5,4,15,9.90012106053198,1856001.2106053198
9305,3,1,6,3.183578721583217,4762335.787215833
6877,2,2,13,2.1542123713392822,3536542.1237133928
1827,2,3,24,6.964568582060223,1080145.6858206023
864,5,1,31,2.901238461422854,591512.3846142285
355,2,3,15,6.528129711063004,335281.29711063
1897,4,2,2,9.420584752984803,1153705.847529848
6459,2,2,46,7.552195097251304,3398021.950972513
9420,4,2,11,6.946415573857045,4894964.155738571
1130,2,4,41,1.1013481543173458,696513.4815431734
7605,2,4,48,2.8173533548723113,3954673.533548723
3911,1,1,16,6.091120272780424,2059411.2027278042
2287,1,2,5,5.085892324929988,1246858.9232492999
7273,2,1,35,3.150201701787706,3740502.017017877
5706,3,3,40,1.2128133928062153,2990128.133928062
4457,1,4,43,2.1176791350236144,2351176.791350236
2522,2,3,50,5.507422803691563,1426074.2280369157
1937,2,4,22,4.011260563387964,1119612.6056338795
8055,3,4,19,2.5588473419060267,4182588.4734190605
3256,1,1,12,8.438806296978084,1753388.0629697808
8237,1,2,17,1.2513089143581344,4189513.089143581
3500,1,1,47,2.9979452035401524,1838479.4520354015
2593,1,3,33,1.665833029845353,1394658.3302984536
9553,1,1,21,8.332370528801025,4905323.705288011
3584,1,4,19,3.4340853857398512,1915840.8538573985
2533,2,3,13,4.348123283573573,1401481.2328357357
8141,1,4,49,1.422410195647084,4189224.101956471
1780,4,4,30,8.53134615074015,1130313.4615074014
1763,5,4,32,7.009394729992704,1127593.947299927
1617,5,1,1,8.558396378232157,1009583.9637823215
6261,4,4,33,3.435152340883362,3321351.5234088334
23,3,3,21,8.441058372537835,211410.58372537835
5423,5,1,17,2.2865376651980522,2857865.3766519804
4679,3,1,17,6.048158848547985,2483481.58848548
7759,2,4,34,2.9850891892789226,4026350.8918927894
9133,1,4,32,8.017079329652827,4742670.793296528
93,2,2,26,2.536843941614097,154868.43941614096
9287,2,1,30,1.5785696656585397,4729285.696656586
9022,5,4,8,8.010471577108781,4755104.715771087
2311,5,2,20,3.345291286339127,1328952.9128633912
7474,5,3,16,4.17754936158578,3931775.493615858
251,4,2,27,9.98289003660122,348828.9003660122
4169,4,1,25,4.028051351955315,2232280.513519553
195,3,1,50,1.574618121747433,213246.18121747434
7515,5,1,35,5.708491747687328,3947084.9174768734
7012,2,4,14,8.83967768853925,3701396.7768853926
7235,2,2,40,4.411877969924474,3751618.7796992445
7934,2,4,47,2.8958852053928927,4119458.852053929
4399,4,1,34,5.194606578772328,2363446.0657877233
4826,1,3,18,1.5743261469943142,2502743.261469943
6363,2,1,47,8.521502466126249,3345215.0246612625
5119,1,3,3,6.44655664106997,2690465.5664107
7141,4,2,18,2.987560426164739,3719375.6042616474
1421,4,4,9,1.882150100208956,873821.5010020896
458,1,4,8,4.376383537643052,356763.83537643054
9126,5,2,45,2.1702310825257616,4737202.310825258
3252,5,1,34,3.2985719154971513,1790985.7191549714
6000,5,3,22,5.790806925205448,3213908.0692520547
9404,4,2,11,4.081974032034244,4858319.740320343
4695,1,1,35,8.572760727322263,2485727.6072732224
2982,4,4,48,7.573198956571781,1730731.9895657178
7522,4,1,9,3.2047194455692356,3892547.1944556925
481,5,2,28,7.532450374847651,459824.5037484765
7226,1,3,40,9.743082811910455,3795430.8281191047
121,1,3,27,5.054308840214675,189543.08840214676
7747,3,2,50,6.550844859096629,4054008.4485909664
1495,5,4,45,9.564741092654877,1025647.4109265488
1283,2,2,16,2.4893161856513606,744393.1618565136
5453,5,4,47,3.85458085783989,2948545.808578399
3219,1,3,31,3.3832865337906113,1723832.8653379062
7735,5,3,49,8.616377389549026,4123163.7738954904
9345,5,4,32,4.543366644498571,4893933.666444986
1152,4,2,44,6.331093637359382,771310.9363735939
6564,3,3,3,1.5801017916493842,3404301.017916494
9912,3,1,48,2.8141155170756544,5083141.155170756
9365,2,4,9,2.1215575217847955,4808215.575217848
4974,5,1,48,8.79511531416053,2713951.153141605
4005,1,3,50,7.912063973339406,2171620.639733394
2761,3,4,34,1.7937583772021632,1535437.5837720216
6098,5,1,7,6.969401343834192,3237194.013438342
8249,1,2,16,6.633161688794045,4248831.61688794
131,1,2,36,4.103023347367449,174530.23347367448
5501,4,1,6,7.605757641539272,2924557.5764153926
3675,5,3,37,1.82565601428291,2019256.560142829
2489,2,2,27,7.665400238617249,1404654.0023861725
1978,2,3,19,6.864734742113423,1152147.3474211341
4871,4,3,36,7.495878090215422,2653458.7809021543
8857,2,1,29,2.8634084742172123,4526634.084742172
4565,2,3,47,6.495159724005409,2455951.597240054
7094,4,3,23,7.803619821917317,3761536.198219173
7589,2,4,17,4.5765148833539175,3948765.1488335393
6717,3,2,16,8.799389883333806,3544493.898833338
4376,2,2,25,2.268876391887154,2293188.7639188715
8420,2,2,32,5.647707749492473,4352477.077494925
5286,5,1,7,7.028540310278793,2831785.403102788
3140,5,4,23,1.6427708457331678,1757927.7084573316
6482,4,4,21,5.188845732501321,3443388.4573250134
3874,1,3,10,9.465744894133785,2101657.448941338
7991,4,1,7,1.9955053587379634,4113955.05358738
6622,1,3,5,9.377458318344422,3472274.583183444
7281,2,4,40,1.7547780015404078,3778047.780015404
7963,3,2,28,2.0109762753104814,4105609.762753105
4501,3,3,27,5.6268273385756356,2425268.273385756
910,1,3,39,2.5152462908589754,564652.4629085897
1932,5,4,39,3.182315338780305,1177323.1533878031
1056,2,4,4,4.389069207439251,673890.6920743925
2264,3,3,20,7.046076646177804,1317460.766461778
1997,5,1,20,2.5145538660510622,1148645.5386605107
264,5,3,42,9.095377353394753,388953.77353394753
539,1,3,30,5.274365059761122,402243.6505976112
2087,1,1,31,1.080473226559793,1104804.732265598
9999,3,4,28,3.023023064571782,5163730.230645718
1987,4,2,42,2.58027152278494,1150302.7152278493
1084,5,3,10,4.141001499552759,733410.0149955276
3069,1,2,29,9.796282553665902,1696962.825536659
1623,5,3,25,9.524157146960826,1064241.5714696082
8494,1,2,11,2.916334874143833,4331663.348741438
6852,4,4,40,9.340347797395575,3679403.4779739557
5571,2,1,40,3.8744645850266086,2899244.645850266
1042,3,4,13,1.625271839004874,663752.7183900487
2039,2,4,36,4.258635542358741,1180086.3554235874
1122,4,1,15,4.818715425022388,711687.1542502239
6819,1,4,5,2.7388571936082107,3519388.571936082
6519,5,1,26,6.7651907239066,3455151.907239066
6897,2,2,40,7.488314482171096,3613383.144821711
7730,2,3,21,8.402453709280962,4044524.5370928096
3345,4,4,6,5.451250093302106,1870012.500933021
8714,5,1,15,9.485120976022696,4574351.209760227
8995,4,4,21,9.583178114643605,4743831.781146436
6566,2,1,5,6.548514451850976,3405985.14451851
4636,1,2,13,1.5226997219925091,2389726.9972199253
3917,1,1,32,9.261106516422162,2102111.0651642215
112,5,1,26,7.663153230818796,260631.53230818798
4077,3,2,10,7.13422009519998,2204842.200952
2101,2,1,3,2.0396849641761157,1127396.849641761
7520,3,4,46,3.4592638730258782,3937592.6387302587
960,5,3,18,9.752491265321789,731524.9126532179
650,1,1,47,1.6535656701598058,400035.6567015981
8596,4,2,4,2.952069972288995,4439520.69972289
6515,5,4,3,8.338693090070826,3502386.9309007083
3630,5,3,13,6.116181625145301,2027661.816251453
7831,1,2,22,6.077839549145521,4037278.395491455
3832,4,2,16,6.740413441077993,2101404.13441078
5160,3,1,20,4.81525396540059,2713152.539654006
7230,2,4,10,6.139855228775637,3781398.5522877565
4264,5,2,7,2.46905428216305,2290190.5428216304
1441,5,3,31,7.095928268531024,951959.2826853102
4079,1,4,22,4.187481422461577,2172374.8142246157
3893,3,2,26,7.33777322675304,2122877.7322675306
8977,5,1,42,2.51313413722286,4649631.341372228
6571,3,2,17,2.363842378764556,3407638.4237876455
1460,2,4,14,6.1383252818743355,898383.2528187433
1884,5,4,27,3.6963497047131564,1152463.4970471316
4026,3,2,41,9.883847382722205,2222338.473827222
2267,2,2,32,3.382640698622001,1253326.40698622
4209,4,1,9,3.023425047771357,2234234.2504777135
2817,2,3,26,7.353178729072121,1580031.7872907212
5230,5,4,31,5.113463659833363,2841634.6365983337
7005,3,3,8,1.1367363086254074,3622867.363086254
1920,5,2,30,2.363674864319254,1128636.7486431925
9154,1,1,18,1.8179119276716498,4639179.119276716
3986,3,2,11,2.3578801865870664,2112078.8018658706
5975,1,3,49,8.797881857265004,3164978.81857265
2913,5,1,18,9.621091930877473,1676710.9193087746
2538,5,1,43,8.371120646673218,1489211.206466732
8643,5,3,32,6.827218541093394,4550772.185410934
1725,3,2,39,2.824809190073812,1000248.0919007381
4964,4,2,11,8.28424472315293,2680342.4472315293
9656,5,4,9,6.634976649571513,5058849.766495715
1710,3,4,34,3.9149932115430044,1031149.93211543
1551,2,2,24,7.435234389419495,931852.3438941949
169,2,2,48,5.131204628598567,229812.04628598568
5048,1,3,14,9.620069369311171,2692200.6936931117
2669,2,1,38,6.567878308948313,1474178.7830894832
9016,2,1,40,8.985269350310414,4672852.693503104
8339,3,2,33,9.308311326687969,4369083.11326688
6983,4,1,13,3.9493048141210756,3632493.048141211
9670,2,2,31,8.5030187947142,5005530.187947142
6804,1,4,39,4.604239432852839,3547542.3943285285
1369,1,2,25,4.801034627748731,795010.3462774873
1417,4,2,43,8.103090988312315,921030.9098831231
1480,3,2,12,8.245111266316584,918451.1126631659
3727,5,4,19,2.046651395329451,2053466.5139532946
1987,3,2,40,2.5115474681371213,1128615.4746813711
3524,3,2,47,6.341319064744748,1938913.1906474475
3073,1,4,26,9.788472930959834,1727384.7293095984
2934,5,1,49,7.476032303302282,1681260.323033023
5205,5,1,40,3.263755955949024,2770137.55955949
2993,4,2,8,5.886446558980839,1669364.4655898083
8668,5,3,32,7.416777452606552,4569167.774526065
173,2,3,4,1.9627190566589627,193127.19056658962
2148,4,1,21,5.202305382085419,1231523.0538208543
8490,4,1,33,2.997387494600319,4386473.874946003
3060,1,3,22,5.769594090028335,1663695.9409002834
6154,3,2,35,2.387209497225119,3208372.094972251
1592,5,3,5,8.876756615655067,1032267.5661565507
5834,2,4,27,7.258949902232326,3103089.499022323
5299,3,4,13,4.397581965174229,2819975.8196517425
1113,5,3,19,4.583939913106992,756839.3991310699
3146,4,3,34,4.3641265555423905,1758641.265555424
4854,4,4,37,6.147764423967357,2646977.6442396734
4634,5,4,5,3.879433616568657,2518294.3361656866
4566,4,1,7,5.219949278571515,2433699.492785715
4941,2,3,50,5.295538647945301,2633455.386479453
9519,4,3,19,8.593750493595106,4979937.504935951
4478,2,2,8,4.864577153768309,2361645.771537683
9822,5,3,5,1.2082898323938187,5070582.898323938
5026,3,1,29,1.061650354588095,2613116.503545881
1544,5,1,44,1.10855177680952,920085.5177680952
4288,5,2,41,6.854207900531745,2363042.0790053173
8103,1,3,12,9.974529033121184,4222245.290331212
5577,4,2,46,8.04796196894345,3001979.6196894343
1155,1,1,16,9.241771362943181,712917.7136294318
4873,4,2,49,2.8615575490215353,2599615.5754902153
2706,5,3,29,7.321384267980596,1585713.842679806
853,5,3,39,6.399906493711046,654999.0649371104
4483,2,2,19,3.904957564584581,2360049.575645846
9513,5,2,1,6.254469038546017,4949544.69038546
1619,4,2,37,1.5117383085438392,953117.3830854384
6667,1,3,22,1.2571437624321378,3422071.4376243213
3512,5,3,8,6.305284946669383,1968052.8494666938
5641,4,4,27,8.835067607761598,3062350.676077616
7064,2,3,22,7.831616457787481,3706316.164577875
3229,5,2,29,5.433159709318509,1813331.5970931852
4331,2,3,30,8.995833295695167,2355458.3329569516
437,2,4,48,6.608527391938473,408585.27391938475
3582,2,1,16,8.441171684374776,1938411.7168437478
3542,5,4,13,8.802288452438825,2025522.8845243882
7402,5,4,29,8.264706767069143,3958147.0676706913
3195,2,3,2,1.6189285397144475,1699689.2853971445
1856,1,4,42,7.820399486932651,1107203.9948693265
132,5,4,3,6.044520637085317,287945.2063708532
8175,2,2,33,5.45283818758482,4228528.381875848
4272,2,4,28,2.3542243318423277,2273542.243318423
9247,3,2,8,4.521283431127834,4762712.834311279
6221,4,2,23,5.873327386867996,3290733.27386868
7616,1,1,9,1.694880292722856,3864448.8029272286
9069,1,3,26,3.3046728495970346,4645546.72849597
9707,5,4,10,1.0552514107731326,5029052.514107731
9931,5,4,36,7.025529125247802,5213755.291252478
5804,2,1,31,9.058236060442972,3063082.3606044296
8341,3,2,45,8.54053807840845,4368405.380784084
9624,1,4,36,9.265414060422165,5002654.140604221
1508,4,4,43,4.739031044498452,962890.3104449845
7605,4,4,3,6.237990987234623,4006379.909872346
6391,4,4,45,8.272959546810954,3440729.5954681095
1682,2,4,26,6.823525212880224,1022235.2521288022
1881,4,1,15,9.156443620692768,1134564.4362069278
3108,5,1,11,3.9832954783787287,1714332.9547837873
3795,1,4,3,8.504467894738209,2064044.6789473821
1672,1,1,4,9.841688747647755,971416.8874764775
4966,2,4,21,2.6194972229775004,2619694.972229775
579,2,1,19,8.975207559998758,443752.0755999876
1895,3,1,50,8.53268486951447,1132826.8486951448
9845,5,3,15,6.365455100454447,5138654.551004545
4513,1,4,29,9.464053953250206,2445640.539532502
9884,5,1,40,4.122596173990255,5118225.961739902
2252,2,1,15,7.606367461711866,1264563.6746171187
9466,2,1,18,9.454370459912047,4891543.704599121
9764,3,4,16,1.131235455274116,5021312.354552741
1511,5,3,7,3.7930997600475527,941930.9976004756
4015,2,2,23,3.1499600002329036,2120499.600002329
9796,1,2,5,3.2018277431781628,4982518.277431781
5132,5,3,39,9.414769846454337,2824647.6984645436
6083,5,1,26,5.4194235095322325,3223694.235095322
3647,3,3,17,7.156529537560731,2008565.2953756072
6861,1,4,5,7.423563321872508,3587235.633218725
9274,5,1,22,3.445469457011087,4797454.694570111
4662,1,2,6,3.2220899671036003,2416220.899671036
7259,4,1,42,7.263106168167646,3818131.0616816767
240,2,3,35,8.52889259720059,307788.92597200593
3598,1,4,12,5.119804066007238,1936198.0406600724
5238,5,2,3,6.389750594797163,2814397.5059479717
365,2,4,11,7.825677148380589,366256.7714838059
9972,1,3,38,3.285057720507803,5102850.577205078
3828,1,4,40,5.160415196781509,2065604.1519678151
6882,5,1,9,4.752722148337697,3608027.221483377
9804,4,1,23,7.154419311498682,5080044.193114987
1219,2,2,22,5.1588909242393655,742088.9092423937
155,3,3,20,4.424930277065547,236749.3027706555
7825,1,2,43,8.88718195863584,4072871.8195863585
3318,3,3,8,3.616182049329721,1804161.8204932972
1758,2,2,15,6.00853541514699,1016585.3541514699
6459,5,1,9,1.204001119345292,3361040.011193453
2285,5,2,2,1.0845217722863918,1284345.217722864
1705,4,3,49,6.052115684648016,1062521.1568464802
223,5,4,5,2.1619635551268543,295619.6355512685
3575,2,1,23,2.1151561611214293,1875151.5616112142
14,4,4,44,5.03935929369658,219393.5929369658
6218,3,4,27,1.940460460168899,3261904.604601689
5336,1,3,39,7.810787984103814,2830607.879841038
7097,3,4,30,4.633808927117653,3729838.0892711766
954,1,1,2,4.068382095100823,553683.8209510082
7232,2,4,33,9.80566759016448,3830556.675901645
8612,5,1,11,8.71183345029075,4513618.3345029075
3572,2,4,17,8.789048841970779,1982390.4884197079
8115,4,2,9,1.5502447829702186,4187502.4478297024
414,4,4,37,7.517799741859015,440677.9974185901
7577,2,3,7,1.6226313413310685,3893226.313413311
589,2,3,34,2.0310310440062884,416810.3104400629
3724,1,3,4,7.946476205168001,2008464.7620516801
3471,3,2,47,4.659533019921429,1895595.3301992144
7865,2,4,46,4.623319792354195,4101733.197923542
3687,3,4,15,1.6677747737107098,1987677.747737107
4032,5,2,4,2.926218581312258,2177262.1858131224
4176,2,2,20,4.595317095682667,2213953.170956827
2344,1,1,15,5.0036727671437475,1264536.7276714374
886,1,4,49,4.2017286968984395,589517.2869689844
9620,3,1,49,9.646400030148062,5005964.00030148
6232,2,4,40,5.3014178569607076,3289014.178569607
4763,1,2,21,4.954248554848521,2491542.485548485
1590,3,4,49,7.1133769840531995,1010633.769840532
7958,1,4,28,5.614468110532452,4129144.6811053245
5176,4,3,18,5.628758686753883,2778287.5868675387
9407,2,2,11,4.975362760247912,4828753.627602479
7448,2,2,13,3.9464933899068826,3839964.9338990687
2318,2,4,13,1.037647065315927,1275876.4706531593
5078,3,2,21,9.988067521663304,2739380.675216633
1375,4,3,38,8.602630328187995,917526.30328188
7568,2,1,1,7.933535847522432,3918835.358475224
7908,5,4,29,2.549330277619667,4153993.3027761965
7888,1,2,9,9.995697344015491,4098456.973440155
6434,1,2,10,8.626151650916947,3358261.5165091692
2,3,4,27,8.754432482722851,222044.3248272285
484,4,4,35,6.561149003909525,465111.4900390952
624,5,4,43,9.422617301579889,587726.1730157989
5758,1,2,25,9.23406253027632,3033840.625302763
1830,2,1,33,3.7951620041584313,1024451.6200415844
8479,4,1,38,9.621847393403366,4449718.473934034
5738,4,4,7,8.306139008437844,3095561.3900843784
6794,3,1,20,6.674450885306147,3548744.5088530616
4092,3,3,21,7.716987939240696,2238669.879392407
